Marqaa gubataa, nama hubataatu arga.
Marqaa gubate, nama hubatetu arga. 
Marquma marqi, hamman nyaadhu anuu beekaa. 
Marquma marqi, hamman nyaadhu beekaa. 
Marquma marqi, hammeenya anuu beeka. 
Maseenni hin dhaluu, kan du'e hin galu. 
Maseenni hokolee didde, hokkotee hin diddu. 
Maseenni okolee didde, okkotee hin diddu.
Maseenni okolee diddu, okkotee hin diddu.
"Masqala ogaadhaan dhufuu, nadheen nu jala bu'e" jetti.
Mataa, akka fakkaatetti haadan.
Mataa ariirra, miila aarii wayyan
Mataa du'e, hudduu areera hin nagan.
"Mataa fayyaa," jette injiraan.
"Mataa fayyaa," jedhe injiraan.
Manni lafee harreetiin ijaarame, yammuu waraabessi yuuse ni jiga.
Manni lafee harreetiin ijaarame, yoggu waraabessi yuusu jiga
Manni sigabaan ijaare, hin jigu.
Manni, utubaa malee hin dhaabatu.
Manni Waaqi ijaare, hin jigu.
Manni waaqni ijaare, hin jigu.
Manni, dhalaa malee hin miidhagu.
Maqaa baduu mannaa, mataa baduu wayya.
Maqaa baduu mannaa, mataan baduu wayya.
Maqaafi harree, abbaatuu laga ceesifata.
"Maqaa hadhooftuu kiyaatiifuu, orma wajjin hin bulu" jedhe bofti. 
Maqaa, hin bitatan malee hin gurguratan. 
Maqaa ilaaltu hambisi, garaa ilaaltu fixi.
Malaanuu, uufuun daalattiidha.
Malaanuu dhuufuun daalattiidha.
Malaan, dhuufuun daalattiidha. 
Mala qoree, qoreedhaan baafadhu.
Malarrattuu, dhuufuun daalattiidha.
Maluma ofiitu, 'aara namaa baasa. 
Mammaaksi, koobaa dubbiiti.
Manaa yoo namaa tole, alaa namatti tola.
Manni akka woraabessatti nyaatu, gaafa akka namatti nyaatu salphata.
Manni nama arrabsu, nama hin faarsu.
Mannuu, waanuma facaafate murata.
Mana abbaan banaa bulche, ormaatuu itti gala.
Mana abbaan gube, iyyata hin qabu
Mana balbala malee hin seenani, utubaa bakka malee hin dhaaban.
Manni lafee harreetiin ijaarame, yammuu waraabessi yuuse ni jiga.
Manni lafee harreetiin ijaarame, yoggu waraabessi iyu jiga.
Manni sigabaan ijaare, hin jigu.
Manni, utubaa malee hin dhaabatu.
Manni Waaqi ijaare, hin jigu.
Manni waaqni ijaare, hin jigu.
Manni, dhalaa malee hin miidhagu.
Maqaa baduu mannaa, mataa baduu wayya. 
Maqaa baduu mannaa, mataan baduu wayya. 
Maqaafi harree, abbaatuu laga ceesifata.
"Maqaa hadhooftuu kiyaatiifuu, orma wajjin hin bulu" jedhe bofti.
Maqaa, hin bitatan malee hin gurguratan.
Maqaa ilaaltu hambisi, garaa ilaaltu fixi.
Maqaan na baduurra, mataan na baaduu wayya.
Maqaan nama hamaa, maqaa bineensaati.
Maqaan takka ba'eefi karaan takka ba'ee, hin deebi'u.
Maqaa warraatu baasa, amala abbaatu baasa. 
"Maqaadhaaf na qalan," jette hindaaqoon han fira wal hin geenye.
Maraataa biratti, dhagaa hin darbatan.
Maraataafi sareen, nama ofii hin wallaalan.
Maraataa hin tuttuqan, tuttuqanii ofitti hin kaasan.
Maraataa, keessi fayyaadha.
"Maraataa, keessi fayyaadha," jedhan.
Maraataan, akka garaatitti dubbata.
